ADMP,2.45,0.55,0.71,-10,2.31,2.59,0,-10,-7,-9,3.17,2.90,10,2,3.37,0,10,0,0,0,0,0,0,0,0,0,-10,2.71,7,10,2,-10,0,10,3505300,559320,526.7,50,0,1
ADMS,22.43,4.96,6.45,-5,21.09,23.58,12,-6,-6,-7,27.57,20.49,4,2,28.16,2,1,22.68,4,2,21.88,18.17,0,0,0,0,-4,18.94,7,3,2,-10,1,10,630100,748851,-15.9,55,0,-2
ADNT,45.67,4.81,6.26,5,44.29,47.03,7,-4,-6,7,47.36,41.63,9,1,48.79,1,10,46.18,10,2,0,0,0,0,0,0,6,40.12,11,10,1,10,1,8,1715500,913216,87.9,0,10,2
ADP,142.55,9.11,11.84,6,140.33,144.53,6,6,3,8,143.01,131.94,3,1,145.72,0,10,140.88,10,2,0,0,142.42,149.55,0,1,6,129.12,3,3,1,10,3,0,1811300,2207740,-18,0,30,6
ADRO,5.75,1.22,1.58,7,5.37,6.07,5,-5,-7,5,6.48,4.86,7,1,6.84,1,6,6.23,8,2,0,0,0,0,0,0,8,4.47,12,2,1,10,1,8,471000,446287,5.5,0,25,0
ADS,238.03,17.80,23.14,8,232.59,242.32,7,4,1,7,242.84,215.32,1,1,249.96,1,10,236.12,10,4,0,0,0,0,0,0,7,212.31,8,1,1,10,2,2,306100,590839,-48.2,0,50,2
ADSK,132.35,9.63,12.52,-2,129.59,134.64,1,-2,-1,-3,140.71,124.68,7,2,145.04,2,0,132.52,1,1,0,0,0,0,0,0,-6,121.77,0,8,1,5,2,1,2026000,1924683,5.3,60,40,-4
ADSW,25.41,1.14,1.48,9,25.07,25.72,7,7,4,8,25.32,24.08,5,1,25.47,1,10,25.47,5,1,0,0,25.66,26.5,0,0,4,23.72,10,3,1,10,2,3,432300,492349,-12.2,0,65,5
ADT,8.71,1.26,1.64,-4,8.44,8.96,5,-2,-3,-4,10.02,7.86,1,0,10.40,2,3,8.99,10,4,0,0,0,0,0,0,-1,7.63,0,1,2,-5,1,5,1376800,3075631,-55.2,80,75,0
ADTN,16.35,1.61,2.09,4,15.99,16.71,1,3,-1,2,17.69,14.71,1,0,18.17,1,8,16.18,10,4,0,0,0,0,0,0,-3,14.15,10,1,1,5,2,0,256300,426391,-39.9,70,70,6
